tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,raw_applied_flap_gap_mean_rad,raw_applied_flap_gap_max_rad,safety_applied_flap_gap_mean_rad,safety_applied_flap_gap_max_rad,online_minus_oracle_alpha_miss_rad,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,ridge_no_safety,0.03415787343015506,0.053733516058725256,0.042335025622307974,5.460779433358381,0.0,0.18518518518518517,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.05757372003484454,0.22728824019245025,0.05757372003484454,0.22728824019245025,0.0,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_000/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_000/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,ridge_no_safety,0.022615661458909773,0.04216923254238067,0.03963656690150358,3.736225625246533,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.001508840071205144,0.005053507609814427,0.001508840071205144,0.005053507609814427,0.0,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_001/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_001/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,ridge_no_safety,0.03044222639240488,0.04691141719701897,0.04299072938148322,2.8717263668766857,0.0,0.037037037037037035,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.04098288271896032,0.1096944714224391,0.04098288271896032,0.1096944714224391,0.0,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_002/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_002/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,ridge_no_safety,0.055885022223605405,0.0774689454538584,0.04985392645685872,12.441564325981592,0.0,0.037037037037037035,21,0,False,False,alpha_corridor_violation,8.5,high,0.0074689454538584,0.0,10.5,0.0,False,0.0,0.0,True,0.0074689454538584,0.0,False,True,0.004172958977993885,0.0,0.048436627958928766,0.36429141705541146,0.01972298060687955,0.35,0.003295986475864515,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_003/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_003/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,ridge_no_safety,0.040256599360319896,0.06260105517292228,0.04434925158709511,5.926953168136885,0.0,0.19753086419753085,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.011004894623853114,0.16814235171943684,0.009292570419387825,0.16814235171943684,0.0,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_004/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_004/metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,ridge_no_safety,0.06148691985942531,0.08584403491647777,0.05123836096768229,12.813344220673887,0.0,0.037037037037037035,31,0,False,False,alpha_corridor_violation,7.0,high,0.01584403491647776,0.0,15.5,0.0,False,0.0,0.0,True,0.01584403491647776,0.0,False,True,0.01523124594900957,0.0,0.10986605950361325,0.4134535650958265,0.03494754127634626,0.35,0.0006127889674681919,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_005/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_005/metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,ridge_no_safety,0.06118052009397485,0.08554521328494516,0.05098465803988878,12.609620213332459,0.0,0.1111111111111111,30,0,False,False,alpha_corridor_violation,7.0,high,0.015545213284945153,0.0,15.0,0.0,False,0.0,0.0,True,0.015545213284945153,0.0,False,True,0.014950782379161698,0.0,0.10601606406321276,0.4943617741785535,0.032967421282166676,0.35,0.0005944309057834551,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_006/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_006/metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,ridge_no_safety,0.06825228670922621,0.09548190109227139,0.05270098503463488,13.0730157164076,0.0,0.037037037037037035,38,0,False,False,alpha_corridor_violation,6.0,high,0.025481901092271386,0.0,19.0,0.0,False,0.0,0.0,False,0.025481901092271386,0.0,False,False,0.027752871084051056,0.0,0.1578228831872101,0.5717453431627739,0.021938680001701127,0.35,-0.00227096999177967,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_007/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_007/metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,ridge_no_safety,0.04527739853311127,0.0688401138849569,0.045977072423490424,7.061801947187879,0.0,0.037037037037037035,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0009642934558382055,0.0,0.026897127530186887,0.32630146484526906,0.024837755347618774,0.32630146484526906,-0.0009642934558382055,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_008/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_008/metrics.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,ridge_no_safety,0.043176128220209525,0.06396714342717322,0.04650770789881295,8.57148976012965,0.0,0.024691358024691357,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.04212466780645413,0.2431353954688642,0.041259264653993065,0.2431353954688642,0.0,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_009/trajectory.csv,outputs/phase20_full_oracle_imitation_staged/ridge_no_safety/moderate/scenario_009/metrics.json
