tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,alpha_tightening_margin_rad,q_tightening_margin_radps
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.172460084735908,0.5,0.0021126972780399,0.0014206289841505,0.0002033558309416,-0.0352671435077904,0.0433178526619218,0.0040766757111884,-2288.5715472335214,pid,0.0853331936168619,0.1197301581551719,0.0345852409257128,25.777608246611724,0.1931464174454828,0.0560747663551401,219,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_000/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_000/pid/metrics.json,,
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.172460084735908,0.5,0.0021126972780399,0.0014206289841505,0.0002033558309416,-0.0352671435077904,0.0433178526619218,0.0040766757111884,-2288.5715472335214,gain_scheduled_lqr,0.1042120890364332,0.1809766104504535,0.0328638445714566,55.65750000000001,0.9875389408099688,0.9968847352024922,220,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_000/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_000/gain_scheduled_lqr/metrics.json,,
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.172460084735908,0.5,0.0021126972780399,0.0014206289841505,0.0002033558309416,-0.0352671435077904,0.0433178526619218,0.0040766757111884,-2288.5715472335214,nominal_nmpc,0.0710633858581691,0.1138106458000683,0.037390513947537,48.574935376234855,0.0,0.1526479750778816,123,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_000/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_000/nominal_nmpc/metrics.json,,
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.1904742556532842,0.0,0.0018198935117927,0.0005389072581292,0.0017670007129131,-0.0421692325423806,0.0371619126363994,0.0037394339900469,1888.1114567916943,pid,0.0592517396197051,0.0940375583249879,0.0384180264959282,37.289168255355406,0.1495327102803738,0.0093457943925233,90,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_001/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_001/pid/metrics.json,,
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.1904742556532842,0.0,0.0018198935117927,0.0005389072581292,0.0017670007129131,-0.0421692325423806,0.0371619126363994,0.0037394339900469,1888.1114567916943,gain_scheduled_lqr,0.0727995161618718,0.1433609970803585,0.0365631472997928,55.81,0.9906542056074766,1.0,155,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_001/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_001/gain_scheduled_lqr/metrics.json,,
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.1904742556532842,0.0,0.0018198935117927,0.0005389072581292,0.0017670007129131,-0.0421692325423806,0.0371619126363994,0.0037394339900469,1888.1114567916943,nominal_nmpc,0.0513346736034025,0.0879637978173244,0.0403292437347114,47.17383852639118,0.0,0.0809968847352024,65,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_001/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_001/nominal_nmpc/metrics.json,,
moderate,2,57,1.0552500109466625,0.9904935904652704,1.1364934679007512,0.9361279231434768,0.1378375551764042,0.5,0.0012876544132459,0.0010895091536253,0.0008726206962965,-0.0398876750530311,0.0403012765601704,-0.0006989770439637,2243.631407086245,pid,0.0496397274610879,0.0767754364074411,0.0413541761358297,42.79025455402516,0.2710280373831775,0.0155763239875389,41,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_002/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_002/pid/metrics.json,,
moderate,2,57,1.0552500109466625,0.9904935904652704,1.1364934679007512,0.9361279231434768,0.1378375551764042,0.5,0.0012876544132459,0.0010895091536253,0.0008726206962965,-0.0398876750530311,0.0403012765601704,-0.0006989770439637,2243.631407086245,gain_scheduled_lqr,0.0597721705847958,0.1280572297659411,0.0400974720210717,55.65750000000001,0.9875389408099688,0.9968847352024922,81,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_002/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_002/gain_scheduled_lqr/metrics.json,,
moderate,2,57,1.0552500109466625,0.9904935904652704,1.1364934679007512,0.9361279231434768,0.1378375551764042,0.5,0.0012876544132459,0.0010895091536253,0.0008726206962965,-0.0398876750530311,0.0403012765601704,-0.0006989770439637,2243.631407086245,nominal_nmpc,0.0438994841414925,0.0709289507424247,0.04283743164527,47.75120049720552,0.0,0.1152647975077881,0,0,False,False,success,outputs/phase5_monte_carlo/moderate/scenario_002/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_002/nominal_nmpc/metrics.json,,
moderate,3,58,0.9427035401698732,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144,0.0002077217815828,0.0015797164489805,-0.0222494917690856,0.047235919833306,-0.0091980197034744,2252.732574594433,pid,0.037759405608944,0.0774689360803796,0.0476125868654587,51.2388596628937,0.7601246105919003,0.35202492211838,21,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_003/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_003/pid/metrics.json,,
