scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,learned_delta_flap_raw_rad,safety_delta_flap_raw_rad,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
24,stress,10079,ridge_strict_train_safety,0.0,0.09562146739541258,0.06309604648893842,0.07551955725272362,0.09747428751180105,0.06655566587826776,0.0750831478573921,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.024378532604587416,0.06311124912565717,-0.004480442747276381,not_applicable,0.0,False,0.3318258985011939,0.3318258985011939,6270.872919475936,-0.02194254927524255,0.4015798869488264,0.3318258985011939,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,4.119750121967721e-06,79.1815973442196,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,0.5,0.1155659496961261,0.06322129248580324,0.10709890604988222,0.1145610203064465,0.06439790504584234,0.1118623008448409,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.0044570912846695065,0.06325163428267824,0.027106507368241592,not_applicable,0.0,False,0.32303168509930713,0.32303168509930713,6254.022219171082,-0.030252470617678048,0.40159248685423254,0.32303168509930713,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,4.120490910977524e-06,79.18945240381147,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,1.0,0.13349212351447662,0.06334621881484083,0.1387407965074441,0.1328404370696019,0.06719606215950427,0.13418344954976397,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,0.013400388260704332,0.06340674371718458,0.058771138304319084,not_applicable,0.0,False,0.39631981297030605,0.35,6238.858010210078,-0.03772017864107487,0.40162486243193063,0.35,0.0,0.0,0.0,0.0,False,False,81995.44873046875,6199.108143368448,21.00908182581111,4.1227078873095e-06,79.21565067461717,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,1.5,0.14961008390853786,0.06347085737210093,0.17044507691574023,0.14565990297905884,0.06175094891229222,0.1677036783142339,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.02940464409372305,0.06356137495022593,0.09051320313644336,not_applicable,0.0,False,0.32756054551154506,0.32756054551154506,6207.705790174026,-0.053051245689234666,0.4016744554206741,0.32756054551154506,0.3318258985011939,0.2437665655582132,0.09,0.18,False,True,81989.78106689453,6198.124722339112,21.005748963664374,4.126394140357881e-06,79.26132619779521,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,2.0,0.16410797114336928,0.0635948867585566,0.20221152317336558,0.16110725252477998,0.06514402191657002,0.19967414653073867,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.04374445948356133,0.06371520658277535,0.12233238254836558,not_applicable,0.0,False,0.40600891861692057,0.35,6177.851146754486,-0.06770848454069626,0.4017399997587981,0.35,0.32303168509930713,0.3019964567341853,0.18,0.18,False,True,81981.87109375,6196.824988604601,21.00134410223131,4.131544304008404e-06,79.3269726059413,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,2.5,0.1771542589140244,0.06371833146279325,0.23403983693691652,0.17514946895199632,0.061407708844839884,0.23265066421927752,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.056588951129387915,0.06386826310341824,0.15422828298183838,not_applicable,0.0,False,0.3666855921108513,0.35,6149.129888000873,-0.08176295840241296,0.4018206300465545,0.35,0.35,0.3372609099591666,0.27,0.18000000000000005,False,True,81971.73309326172,6195.226102903411,20.995925400097143,4.138154530561644e-06,79.41289546368726,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,3.0,0.18889988255835016,0.06384121284588135,0.2659297313125967,0.18960146182026255,0.06394356832953814,0.26504206811678027,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.06808969737316498,0.06402056587322509,0.18620052232822165,not_applicable,0.0,False,0.42958058752325334,0.35,6127.219071406085,-0.09241685163861953,0.40191568368588926,0.35,0.32756054551154506,0.33013480998704164,0.33013480998704164,0.12026961997408325,False,False,81959.38134765625,6193.341204448907,20.98953738670099,4.146222467419253e-06,79.5193128887709,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,False
24,stress,10079,ridge_strict_train_safety,3.5,0.19948009263404323,0.06396366594943359,0.2978809584958672,0.20256971995509274,0.06888234580680866,0.3015374199360409,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.07838259177670441,0.0641722499338086,0.21824875756813283,not_applicable,0.0,False,0.5290793850641612,0.35,6115.0808065093115,-0.09822259226647323,0.40202462079258067,0.35,0.35,0.3447282132310104,0.3447282132310104,0.029186806487937478,False,False,81944.83013916016,6191.180999058791,20.98221634458463,4.1557472364362005e-06,79.64639634996705,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,True
24,stress,10079,ridge_strict_train_safety,4.0,0.2090161294675943,0.06408588518123053,0.32989335303438416,0.21000127844659666,0.06404023182521944,0.3232491361650626,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.08758951767061213,0.06432350969294927,0.25037272803438415,not_applicable,0.0,False,0.4614970985159442,0.35,6105.8374313049835,-0.10256554349890451,0.40214698367832524,0.35,0.35,0.34860098314088284,0.34860098314088284,0.007745539819744907,False,False,81928.09375,6188.754562618874,20.973993032370615,4.166729415849437e-06,79.79429132731322,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,True
24,stress,10079,ridge_strict_train_safety,4.5,0.2176166632023188,0.06420792750642768,0.3619668123099683,0.22168150105836373,0.06431771718770593,0.36700935524756995,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.09581978820231879,0.06447440211580267,0.28257223589395264,not_applicable,0.0,False,0.48334511412901426,0.35,6097.861344701478,-0.10624535113407116,0.40228237351219553,0.35,0.35,0.3496287315367899,0.3496287315367899,0.00205549679181416,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,4.179171024700939e-06,79.96312921329138,0.8245741425196464,1.119409789340177,0.8514195738511041,0.8169376489088912,0.37690347448805994,1.5,0.003099367871872374,0.0029187517149968454,0.004646544945171574,-0.02437853260458742,0.06311124912565717,-0.004480442747276381,6315.351539672236,True
