scenario_id,tier,seed,controller,residual_gain,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,predicted_residual_q_dot,applied_residual_q_dot,solver_status,solve_time_s,objective_value,solver_failure,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,0.0,0.09726367930063026,0.05237034123419307,0.08118891616634445,0.09743057985265398,0.05201600022115371,0.08050890310645166,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.022736320699369733,0.05238554387091182,0.0011889161663444503,7.683720251159838e-05,0.0,Solve_Succeeded,0.026081709016580135,14437.643823352983,False,-1866.8762812365558,-0.020597535594071036,0.4015798869488264,0.35000000997916414,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.631335244604286e-06,108.23426340129438,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,0.5,0.1119194493992448,0.05233284002406308,0.10736472488783545,0.11159258340067996,0.05146259365845764,0.10522309627360388,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.008103591581550815,0.05236318182093808,0.027372326206194827,5.030387933640211e-05,0.0,not_applicable,0.0,,False,-1882.9520408485546,-0.026396770636646562,0.40159248685423254,0.35000000997916414,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.632347837877232e-06,108.24500057530217,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,1.0,0.12503075967039443,0.05229503453190158,0.13352170552193554,0.12518556599403982,0.05302982449661957,0.1341304081736836,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,0.00493902441662214,0.05235555943424533,0.05355204731881054,5.418496341695958e-05,0.0,not_applicable,0.0,,False,-1920.6168846526557,-0.03997570171296956,0.40162486243193063,0.35000000997916414,0.35000000997916414,0.3329760156467854,0.09,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,5.635378249087887e-06,108.28081130201328,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,1.5,0.13675824143893325,0.05225649115694383,0.15965959767643167,0.1368463092247614,0.052448748364073566,0.15948623952233218,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.016552801624118443,0.05234700873506883,0.0797277238971348,6.0935519213510536e-05,0.0,not_applicable,0.0,,False,-1956.8265065320977,-0.05300782462787135,0.4016744554206741,0.35000000997916414,0.35000000997916414,0.3491719631941194,0.18,0.18,False,True,81989.78106689453,6198.124722339112,21.005748963664374,5.640417032047365e-06,108.34324571572121,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,2.0,0.14724569959322736,0.052217237379224915,0.18577803941301219,0.14754582567305655,0.051707802122655876,0.18725724649925476,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.026882187933419413,0.05233755720344367,0.10589889878801219,7.983162169557115e-05,0.0,Solve_Succeeded,0.025586374977137893,18325.559734538812,False,-1991.7665461408847,-0.06555095285176801,0.4017399997587981,0.3500000099792313,0.35000000997916414,0.34995973379809664,0.27,0.18000000000000005,False,True,81981.87109375,6196.824988604601,21.00134410223131,5.647456851750512e-06,108.43297856866864,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,2.5,0.15662197162456165,0.05217729713956449,0.21187668163435872,0.15657359260528092,0.05214103676031462,0.21018599714668307,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.036056663839925174,0.05232722878018948,0.13206512767928058,8.011830643910728e-05,0.0,not_applicable,0.0,,False,-2023.0119127024861,-0.07672385439399629,0.4018206300465545,0.3500000099792313,0.35000000997916414,0.34999805094642505,0.34999805094642505,0.15999610189285007,False,False,81971.73309326172,6195.226102903411,20.995925400097143,5.656492448731403e-06,108.5504275407706,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,3.0,0.1650024976264422,0.05213674303569382,0.23795519936508808,0.16502715268603102,0.05375868103185805,0.23785512905619002,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.044192312441257015,0.05231609606303757,0.15822599038071306,8.032166297735482e-05,0.0,not_applicable,0.0,,False,-2032.528166646355,-0.0800410742698251,0.40191568368588926,0.3500000099792313,0.3500000099792313,0.34999991469191005,0.34999991469191005,3.727490969995806e-06,False,False,81959.38134765625,6193.341204448907,20.98953738670099,5.667520607195489e-06,108.69589077974668,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,3.5,0.17249081414335118,0.052096008491754296,0.2640133941240365,0.17236741485246596,0.052353752022081736,0.2653803663490503,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.05139331328601236,0.05230459247612931,0.18438119319630214,8.148523999265342e-05,0.0,not_applicable,0.0,,False,-2041.1439879980007,-0.08300472461361073,0.40202462079258067,0.3500000099792313,0.3500000099792313,0.3500000053444577,0.35,1.7061617985092425e-07,False,False,81944.83013916016,6191.180999058791,20.98221634458463,5.680540126795923e-06,108.86960266829645,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,4.0,0.1791797775677868,0.05205511048060401,0.29005118001924013,0.17950067842906986,0.05159599060625484,0.2884224943925416,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.05775316577080464,0.05229273499232275,0.21053055501924012,8.227544459734433e-05,0.0,Solve_Succeeded,0.026917209033854306,22194.28549625713,False,-2048.9644785289215,-0.08565167668317733,0.40214698367832524,0.350000009890694,0.3500000099792313,0.350000009753796,0.35,0.0,False,False,81928.09375,6188.754562618874,20.973993032370615,5.695551797931644e-06,109.07176206480656,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,residual_horizon_nmpc_gain_0,0.0,4.5,0.1851525793856635,0.052014063983568996,0.31606847913822816,0.18482628436556758,0.05197516491691836,0.3132915748669453,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.06335570438566351,0.052280538592943994,0.23667390272221253,8.290477309059324e-05,0.0,not_applicable,0.0,,False,-2056.0830055836495,-0.08801484401295928,0.40228237351219553,0.350000009890694,0.3500000099792313,0.35000000996826613,0.35,0.0,False,False,81909.18646240234,6186.0698038826085,20.964894253212666,5.712558380455047e-06,109.30254857121709,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
