controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,corridor_violation_count,success_label
pid,0.1999926434636557,0.27602376146187596,0.007936937636270286,38.71393701823804,0.2866043613707165,0.0,316,failure
gain_scheduled_lqr,0.22097635960897155,0.2821987990364377,0.0013751181995726456,40.358241925107606,0.6355140186915887,0.6105919003115264,316,failure
