tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation
moderate,0,55,truth_consistent_slack_oracle,0.0,0.08473285649220952,0.04330265002520312,0.08407667571118842,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.03526714350779048,0.043317852661921875,0.0040766757111884155,21.012104371718653,82000.0,6200.0,105.59884240399309,0.0,0.1799999849919228,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,1.0,0.1068256019789541,0.04320744573168987,0.12733213006917324,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.013266133274818181,0.04326797063403362,0.047362471866048236,21.00908182581111,81995.44873046875,6199.108143368448,105.64425689916109,0.11999998999461521,0.3499998289108606,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,2.0,0.12446896873044941,0.04310969885752512,0.17049118232400634,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.004105457070641458,0.04323001868174388,0.09061204169900634,21.00134410223131,81981.87109375,6196.824988604601,105.79271901000865,0.27333321593877885,0.3499999818529201,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,3.0,0.1385395648152768,0.0430106824310873,0.21355156396824082,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.017729379630091607,0.043190035458431045,0.1338223549838658,20.98953738670099,81959.38134765625,6193.341204448907,106.04922951113139,0.324444393214873,0.3499999799104687,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,4.0,0.1497422047468416,0.04291089722663058,0.25651244214514424,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.02831559294985944,0.04314852173834932,0.17699181714514423,20.973993032370615,81928.09375,6188.754562618874,106.41594861973807,0.34148145101193683,0.34999997750226153,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,5.0,0.15864272087763273,0.04281056985987981,0.29937322475272193,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.03643507341535564,0.043105704137223574,0.22011907436209693,20.95494384003998,81888.12255859375,6183.133755185188,106.89437914982155,0.3471604686721533,0.34999997453177856,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,6.0,0.16569532122060388,0.04270982202424103,0.3421334526171071,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.04254717307245573,0.043061704348459774,0.2632029057421071,20.932572348428415,81839.58203125,6176.532643486048,107.48585493224058,0.3490534725785701,0.34999997085507584,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,7.0,0.1712645925179442,0.042608729622819905,0.3847927514077817,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.04702162269627069,0.04301659827516366,0.3062421752359067,20.907030470688255,81782.58642578125,6168.996052234287,108.1917389908424,0.34968447142957393,0.34999996625783414,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,8.0,0.1756431763446501,0.042507344668572346,0.42735080593276265,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.050156207894718696,0.04297043793029109,0.34923580593276266,20.878449470932924,81717.25,6160.562713271744,109.01352388920404,0.3498948013150808,0.3499999604142726,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
moderate,0,55,truth_consistent_slack_oracle,9.0,0.17906596237956113,0.0424057043200231,0.4698073438485007,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.05219096237956114,0.04292326047236685,0.3921827637703757,20.84694573386822,81643.68701171875,6151.266968002932,109.95288978885833,0.34996490738120867,0.34999995281071433,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False
